[epoch:0, iter:81] avg_LOSS: 2.225 | avg_ACC: 16.519% 
[epoch:0, iter:82] avg_LOSS: 2.221 | avg_ACC: 16.659% 
[epoch:0, iter:83] avg_LOSS: 2.219 | avg_ACC: 16.699% 
[epoch:0, iter:84] avg_LOSS: 2.218 | avg_ACC: 16.750% 
[epoch:0, iter:85] avg_LOSS: 2.216 | avg_ACC: 16.800% 
[epoch:0, iter:86] avg_LOSS: 2.213 | avg_ACC: 16.895% 
[epoch:0, iter:87] avg_LOSS: 2.212 | avg_ACC: 17.023% 
[epoch:0, iter:88] avg_LOSS: 2.210 | avg_ACC: 17.159% 
[epoch:0, iter:89] avg_LOSS: 2.208 | avg_ACC: 17.270% 
[epoch:0, iter:90] avg_LOSS: 2.207 | avg_ACC: 17.333% 
[epoch:0, iter:91] avg_LOSS: 2.206 | avg_ACC: 17.385% 
[epoch:0, iter:92] avg_LOSS: 2.203 | avg_ACC: 17.489% 
[epoch:0, iter:93] avg_LOSS: 2.201 | avg_ACC: 17.591% 
[epoch:0, iter:94] avg_LOSS: 2.198 | avg_ACC: 17.798% 
[epoch:0, iter:95] avg_LOSS: 2.198 | avg_ACC: 17.905% 
[epoch:0, iter:96] avg_LOSS: 2.196 | avg_ACC: 17.969% 
[epoch:0, iter:97] avg_LOSS: 2.194 | avg_ACC: 18.000% 
[epoch:0, iter:98] avg_LOSS: 2.194 | avg_ACC: 18.051% 
[epoch:0, iter:99] avg_LOSS: 2.192 | avg_ACC: 18.152% 
[epoch:0, iter:100] avg_LOSS: 2.191 | avg_ACC: 18.140% 
[epoch:0, iter:101] avg_LOSS: 2.190 | avg_ACC: 18.178% 
[epoch:0, iter:102] avg_LOSS: 2.189 | avg_ACC: 18.206% 
[epoch:0, iter:103] avg_LOSS: 2.187 | avg_ACC: 18.301% 
[epoch:0, iter:104] avg_LOSS: 2.186 | avg_ACC: 18.327% 
[epoch:0, iter:105] avg_LOSS: 2.184 | avg_ACC: 18.400% 
[epoch:0, iter:106] avg_LOSS: 2.183 | avg_ACC: 18.425% 
[epoch:0, iter:107] avg_LOSS: 2.181 | avg_ACC: 18.495% 
[epoch:0, iter:108] avg_LOSS: 2.180 | avg_ACC: 18.556% 
[epoch:0, iter:109] avg_LOSS: 2.179 | avg_ACC: 18.624% 
[epoch:0, iter:110] avg_LOSS: 2.178 | avg_ACC: 18.664% 
[epoch:0, iter:111] avg_LOSS: 2.175 | avg_ACC: 18.766% 
[epoch:0, iter:112] avg_LOSS: 2.174 | avg_ACC: 18.884% 
[epoch:0, iter:113] avg_LOSS: 2.174 | avg_ACC: 18.894% 
[epoch:0, iter:114] avg_LOSS: 2.172 | avg_ACC: 18.921% 
[epoch:0, iter:115] avg_LOSS: 2.170 | avg_ACC: 19.035% 
[epoch:0, iter:116] avg_LOSS: 2.168 | avg_ACC: 19.060% 
[epoch:0, iter:117] avg_LOSS: 2.167 | avg_ACC: 19.137% 
[epoch:0, iter:118] avg_LOSS: 2.165 | avg_ACC: 19.169% 
[epoch:0, iter:119] avg_LOSS: 2.164 | avg_ACC: 19.218% 
[epoch:0, iter:120] avg_LOSS: 2.163 | avg_ACC: 19.292% 
[epoch:0, iter:121] avg_LOSS: 2.161 | avg_ACC: 19.405% 
[epoch:0, iter:122] avg_LOSS: 2.159 | avg_ACC: 19.508% 
[epoch:0, iter:123] avg_LOSS: 2.157 | avg_ACC: 19.585% 
[epoch:0, iter:124] avg_LOSS: 2.156 | avg_ACC: 19.589% 
[epoch:0, iter:125] avg_LOSS: 2.154 | avg_ACC: 19.624% 
[epoch:0, iter:126] avg_LOSS: 2.154 | avg_ACC: 19.675% 
[epoch:0, iter:127] avg_LOSS: 2.152 | avg_ACC: 19.756% 
[epoch:0, iter:128] avg_LOSS: 2.151 | avg_ACC: 19.844% 
[epoch:0, iter:129] avg_LOSS: 2.148 | avg_ACC: 19.961% 
[epoch:0, iter:130] avg_LOSS: 2.147 | avg_ACC: 20.031% 
[epoch:0, iter:131] avg_LOSS: 2.146 | avg_ACC: 20.115% 
[epoch:0, iter:132] avg_LOSS: 2.146 | avg_ACC: 20.189% 
[epoch:0, iter:133] avg_LOSS: 2.145 | avg_ACC: 20.226% 
[epoch:0, iter:134] avg_LOSS: 2.143 | avg_ACC: 20.328% 
[epoch:0, iter:135] avg_LOSS: 2.143 | avg_ACC: 20.333% 
[epoch:0, iter:136] avg_LOSS: 2.142 | avg_ACC: 20.375% 
[epoch:0, iter:137] avg_LOSS: 2.141 | avg_ACC: 20.365% 
[epoch:0, iter:138] avg_LOSS: 2.140 | avg_ACC: 20.413% 
[epoch:0, iter:139] avg_LOSS: 2.139 | avg_ACC: 20.446% 
[epoch:0, iter:140] avg_LOSS: 2.138 | avg_ACC: 20.500% 
[epoch:0, iter:141] avg_LOSS: 2.138 | avg_ACC: 20.511% 
[epoch:0, iter:142] avg_LOSS: 2.136 | avg_ACC: 20.556% 
[epoch:0, iter:143] avg_LOSS: 2.136 | avg_ACC: 20.573% 
[epoch:0, iter:144] avg_LOSS: 2.135 | avg_ACC: 20.639% 
[epoch:0, iter:145] avg_LOSS: 2.133 | avg_ACC: 20.697% 
[epoch:0, iter:146] avg_LOSS: 2.132 | avg_ACC: 20.760% 
[epoch:0, iter:147] avg_LOSS: 2.131 | avg_ACC: 20.816% 
