[epoch:0, iter:1] avg_LOSS: 2.475 | avg_ACC: 11.000% 
[epoch:0, iter:2] avg_LOSS: 2.619 | avg_ACC: 13.500% 
[epoch:0, iter:3] avg_LOSS: 2.777 | avg_ACC: 14.000% 
[epoch:0, iter:4] avg_LOSS: 2.802 | avg_ACC: 15.500% 
[epoch:0, iter:5] avg_LOSS: 2.671 | avg_ACC: 18.600% 
[epoch:0, iter:6] avg_LOSS: 2.586 | avg_ACC: 19.333% 
[epoch:0, iter:7] avg_LOSS: 2.501 | avg_ACC: 20.429% 
[epoch:0, iter:8] avg_LOSS: 2.449 | avg_ACC: 21.125% 
[epoch:0, iter:9] avg_LOSS: 2.406 | avg_ACC: 21.333% 
[epoch:0, iter:10] avg_LOSS: 2.374 | avg_ACC: 21.400% 
[epoch:0, iter:11] avg_LOSS: 2.343 | avg_ACC: 21.364% 
[epoch:0, iter:12] avg_LOSS: 2.315 | avg_ACC: 21.500% 
[epoch:0, iter:13] avg_LOSS: 2.289 | avg_ACC: 21.692% 
[epoch:0, iter:14] avg_LOSS: 2.262 | avg_ACC: 22.000% 
[epoch:0, iter:15] avg_LOSS: 2.246 | avg_ACC: 22.067% 
[epoch:0, iter:16] avg_LOSS: 2.230 | avg_ACC: 22.500% 
[epoch:0, iter:17] avg_LOSS: 2.209 | avg_ACC: 22.647% 
[epoch:0, iter:18] avg_LOSS: 2.195 | avg_ACC: 23.167% 
[epoch:0, iter:19] avg_LOSS: 2.178 | avg_ACC: 23.474% 
[epoch:0, iter:20] avg_LOSS: 2.168 | avg_ACC: 23.600% 
[epoch:0, iter:21] avg_LOSS: 2.163 | avg_ACC: 23.714% 
[epoch:0, iter:22] avg_LOSS: 2.153 | avg_ACC: 23.818% 
[epoch:0, iter:23] avg_LOSS: 2.138 | avg_ACC: 24.217% 
[epoch:0, iter:24] avg_LOSS: 2.128 | avg_ACC: 24.292% 
[epoch:0, iter:25] avg_LOSS: 2.113 | avg_ACC: 24.360% 
[epoch:0, iter:26] avg_LOSS: 2.106 | avg_ACC: 24.308% 
[epoch:0, iter:27] avg_LOSS: 2.104 | avg_ACC: 24.296% 
[epoch:0, iter:28] avg_LOSS: 2.096 | avg_ACC: 24.500% 
[epoch:0, iter:29] avg_LOSS: 2.088 | avg_ACC: 24.586% 
[epoch:0, iter:30] avg_LOSS: 2.081 | avg_ACC: 24.833% 
[epoch:0, iter:31] avg_LOSS: 2.066 | avg_ACC: 25.097% 
[epoch:0, iter:32] avg_LOSS: 2.053 | avg_ACC: 25.750% 
[epoch:0, iter:33] avg_LOSS: 2.045 | avg_ACC: 25.848% 
[epoch:0, iter:34] avg_LOSS: 2.038 | avg_ACC: 26.029% 
[epoch:0, iter:35] avg_LOSS: 2.027 | avg_ACC: 26.229% 
[epoch:0, iter:36] avg_LOSS: 2.020 | avg_ACC: 26.611% 
[epoch:0, iter:37] avg_LOSS: 2.016 | avg_ACC: 26.622% 
[epoch:0, iter:38] avg_LOSS: 2.005 | avg_ACC: 26.816% 
[epoch:0, iter:39] avg_LOSS: 2.002 | avg_ACC: 26.846% 
[epoch:0, iter:40] avg_LOSS: 1.996 | avg_ACC: 27.050% 
[epoch:0, iter:41] avg_LOSS: 1.991 | avg_ACC: 27.146% 
[epoch:0, iter:42] avg_LOSS: 1.985 | avg_ACC: 27.286% 
[epoch:0, iter:43] avg_LOSS: 1.978 | avg_ACC: 27.442% 
[epoch:0, iter:44] avg_LOSS: 1.970 | avg_ACC: 27.750% 
[epoch:0, iter:45] avg_LOSS: 1.968 | avg_ACC: 27.822% 
[epoch:0, iter:46] avg_LOSS: 1.964 | avg_ACC: 27.739% 
[epoch:0, iter:47] avg_LOSS: 1.958 | avg_ACC: 27.894% 
[epoch:0, iter:48] avg_LOSS: 1.953 | avg_ACC: 28.000% 
[epoch:0, iter:49] avg_LOSS: 1.946 | avg_ACC: 28.224% 
[epoch:0, iter:50] avg_LOSS: 1.939 | avg_ACC: 28.400% 
[epoch:0, iter:51] avg_LOSS: 1.938 | avg_ACC: 28.490% 
[epoch:0, iter:52] avg_LOSS: 1.935 | avg_ACC: 28.596% 
[epoch:0, iter:53] avg_LOSS: 1.933 | avg_ACC: 28.604% 
[epoch:0, iter:54] avg_LOSS: 1.929 | avg_ACC: 28.741% 
[epoch:0, iter:55] avg_LOSS: 1.929 | avg_ACC: 28.745% 
[epoch:0, iter:56] avg_LOSS: 1.925 | avg_ACC: 28.857% 
