[epoch:0, iter:1] avg_LOSS: 2.404 | avg_ACC: 7.000% 
[epoch:0, iter:2] avg_LOSS: 2.417 | avg_ACC: 8.000% 
[epoch:0, iter:3] avg_LOSS: 2.378 | avg_ACC: 10.000% 
[epoch:0, iter:4] avg_LOSS: 2.325 | avg_ACC: 11.500% 
[epoch:0, iter:5] avg_LOSS: 2.308 | avg_ACC: 12.800% 
[epoch:0, iter:6] avg_LOSS: 2.293 | avg_ACC: 13.333% 
[epoch:0, iter:7] avg_LOSS: 2.289 | avg_ACC: 14.143% 
[epoch:0, iter:8] avg_LOSS: 2.275 | avg_ACC: 14.000% 
[epoch:0, iter:9] avg_LOSS: 2.257 | avg_ACC: 14.889% 
[epoch:0, iter:10] avg_LOSS: 2.233 | avg_ACC: 16.000% 
[epoch:0, iter:11] avg_LOSS: 2.236 | avg_ACC: 16.182% 
[epoch:0, iter:12] avg_LOSS: 2.232 | avg_ACC: 16.333% 
[epoch:0, iter:13] avg_LOSS: 2.223 | avg_ACC: 16.692% 
[epoch:0, iter:14] avg_LOSS: 2.200 | avg_ACC: 17.571% 
[epoch:0, iter:15] avg_LOSS: 2.196 | avg_ACC: 18.133% 
[epoch:0, iter:16] avg_LOSS: 2.190 | avg_ACC: 18.500% 
[epoch:0, iter:17] avg_LOSS: 2.178 | avg_ACC: 19.412% 
[epoch:0, iter:18] avg_LOSS: 2.178 | avg_ACC: 19.611% 
[epoch:0, iter:19] avg_LOSS: 2.166 | avg_ACC: 20.316% 
[epoch:0, iter:20] avg_LOSS: 2.149 | avg_ACC: 21.000% 
[epoch:0, iter:21] avg_LOSS: 2.136 | avg_ACC: 21.190% 
[epoch:0, iter:22] avg_LOSS: 2.133 | avg_ACC: 21.182% 
[epoch:0, iter:23] avg_LOSS: 2.120 | avg_ACC: 21.913% 
[epoch:0, iter:24] avg_LOSS: 2.126 | avg_ACC: 21.667% 
[epoch:0, iter:25] avg_LOSS: 2.119 | avg_ACC: 21.960% 
[epoch:0, iter:26] avg_LOSS: 2.111 | avg_ACC: 22.308% 
[epoch:0, iter:27] avg_LOSS: 2.113 | avg_ACC: 22.407% 
[epoch:0, iter:28] avg_LOSS: 2.103 | avg_ACC: 23.143% 
[epoch:0, iter:29] avg_LOSS: 2.101 | avg_ACC: 23.379% 
[epoch:0, iter:30] avg_LOSS: 2.091 | avg_ACC: 23.700% 
[epoch:0, iter:31] avg_LOSS: 2.087 | avg_ACC: 23.774% 
[epoch:0, iter:32] avg_LOSS: 2.086 | avg_ACC: 23.688% 
[epoch:0, iter:33] avg_LOSS: 2.080 | avg_ACC: 23.909% 
[epoch:0, iter:34] avg_LOSS: 2.077 | avg_ACC: 24.147% 
[epoch:0, iter:35] avg_LOSS: 2.079 | avg_ACC: 24.286% 
[epoch:0, iter:36] avg_LOSS: 2.074 | avg_ACC: 24.528% 
[epoch:0, iter:37] avg_LOSS: 2.069 | avg_ACC: 24.595% 
[epoch:0, iter:38] avg_LOSS: 2.065 | avg_ACC: 24.658% 
[epoch:0, iter:39] avg_LOSS: 2.062 | avg_ACC: 24.949% 
[epoch:0, iter:40] avg_LOSS: 2.057 | avg_ACC: 25.125% 
[epoch:0, iter:41] avg_LOSS: 2.053 | avg_ACC: 25.220% 
[epoch:0, iter:42] avg_LOSS: 2.048 | avg_ACC: 25.381% 
[epoch:0, iter:43] avg_LOSS: 2.042 | avg_ACC: 25.558% 
[epoch:0, iter:44] avg_LOSS: 2.038 | avg_ACC: 25.773% 
[epoch:0, iter:45] avg_LOSS: 2.031 | avg_ACC: 26.022% 
[epoch:0, iter:46] avg_LOSS: 2.028 | avg_ACC: 26.109% 
[epoch:0, iter:47] avg_LOSS: 2.028 | avg_ACC: 26.191% 
[epoch:0, iter:48] avg_LOSS: 2.026 | avg_ACC: 26.188% 
[epoch:0, iter:49] avg_LOSS: 2.019 | avg_ACC: 26.408% 
[epoch:0, iter:50] avg_LOSS: 2.018 | avg_ACC: 26.400% 
[epoch:0, iter:51] avg_LOSS: 2.016 | avg_ACC: 26.529% 
[epoch:0, iter:52] avg_LOSS: 2.015 | avg_ACC: 26.558% 
[epoch:0, iter:53] avg_LOSS: 2.013 | avg_ACC: 26.623% 
[epoch:0, iter:54] avg_LOSS: 2.012 | avg_ACC: 26.704% 
[epoch:0, iter:55] avg_LOSS: 2.007 | avg_ACC: 26.745% 
[epoch:0, iter:56] avg_LOSS: 2.006 | avg_ACC: 26.821% 
[epoch:0, iter:57] avg_LOSS: 2.004 | avg_ACC: 26.895% 
[epoch:0, iter:58] avg_LOSS: 2.000 | avg_ACC: 27.017% 
[epoch:0, iter:59] avg_LOSS: 1.999 | avg_ACC: 26.983% 
[epoch:0, iter:60] avg_LOSS: 1.996 | avg_ACC: 27.050% 
[epoch:0, iter:61] avg_LOSS: 1.992 | avg_ACC: 27.131% 
[epoch:0, iter:62] avg_LOSS: 1.988 | avg_ACC: 27.306% 
[epoch:0, iter:63] avg_LOSS: 1.986 | avg_ACC: 27.476% 
[epoch:0, iter:64] avg_LOSS: 1.984 | avg_ACC: 27.562% 
[epoch:0, iter:65] avg_LOSS: 1.981 | avg_ACC: 27.662% 
[epoch:0, iter:66] avg_LOSS: 1.977 | avg_ACC: 27.758% 
[epoch:0, iter:67] avg_LOSS: 1.971 | avg_ACC: 27.866% 
[epoch:0, iter:68] avg_LOSS: 1.967 | avg_ACC: 28.000% 
[epoch:0, iter:69] avg_LOSS: 1.962 | avg_ACC: 28.217% 
[epoch:0, iter:70] avg_LOSS: 1.961 | avg_ACC: 28.257% 
[epoch:0, iter:71] avg_LOSS: 1.957 | avg_ACC: 28.408% 
[epoch:0, iter:72] avg_LOSS: 1.954 | avg_ACC: 28.528% 
[epoch:0, iter:73] avg_LOSS: 1.951 | avg_ACC: 28.548% 
[epoch:0, iter:74] avg_LOSS: 1.945 | avg_ACC: 28.716% 
[epoch:0, iter:75] avg_LOSS: 1.943 | avg_ACC: 28.787% 
[epoch:0, iter:76] avg_LOSS: 1.943 | avg_ACC: 28.842% 
[epoch:0, iter:77] avg_LOSS: 1.938 | avg_ACC: 28.948% 
[epoch:0, iter:78] avg_LOSS: 1.935 | avg_ACC: 28.962% 
[epoch:0, iter:79] avg_LOSS: 1.931 | avg_ACC: 29.101% 
[epoch:0, iter:80] avg_LOSS: 1.928 | avg_ACC: 29.188% 
[epoch:0, iter:81] avg_LOSS: 1.925 | avg_ACC: 29.309% 
[epoch:0, iter:82] avg_LOSS: 1.924 | avg_ACC: 29.366% 
[epoch:0, iter:83] avg_LOSS: 1.922 | avg_ACC: 29.482% 
[epoch:0, iter:84] avg_LOSS: 1.919 | avg_ACC: 29.583% 
