[epoch:0, iter:1] avg_LOSS: 2.511 | avg_ACC: 4.000% 
[epoch:0, iter:2] avg_LOSS: 2.410 | avg_ACC: 7.000% 
[epoch:0, iter:3] avg_LOSS: 2.374 | avg_ACC: 8.333% 
[epoch:0, iter:4] avg_LOSS: 2.366 | avg_ACC: 9.750% 
[epoch:0, iter:5] avg_LOSS: 2.384 | avg_ACC: 10.600% 
[epoch:0, iter:6] avg_LOSS: 2.369 | avg_ACC: 12.667% 
[epoch:0, iter:7] avg_LOSS: 2.359 | avg_ACC: 13.143% 
[epoch:0, iter:8] avg_LOSS: 2.328 | avg_ACC: 14.750% 
[epoch:0, iter:9] avg_LOSS: 2.312 | avg_ACC: 14.667% 
[epoch:0, iter:10] avg_LOSS: 2.279 | avg_ACC: 15.900% 
[epoch:0, iter:11] avg_LOSS: 2.270 | avg_ACC: 16.727% 
[epoch:0, iter:12] avg_LOSS: 2.256 | avg_ACC: 17.167% 
[epoch:0, iter:13] avg_LOSS: 2.245 | avg_ACC: 17.308% 
[epoch:0, iter:14] avg_LOSS: 2.225 | avg_ACC: 18.357% 
[epoch:0, iter:15] avg_LOSS: 2.215 | avg_ACC: 18.733% 
[epoch:0, iter:16] avg_LOSS: 2.208 | avg_ACC: 18.938% 
[epoch:0, iter:17] avg_LOSS: 2.198 | avg_ACC: 18.941% 
[epoch:0, iter:18] avg_LOSS: 2.177 | avg_ACC: 19.278% 
[epoch:0, iter:19] avg_LOSS: 2.160 | avg_ACC: 19.895% 
[epoch:0, iter:20] avg_LOSS: 2.148 | avg_ACC: 20.550% 
[epoch:0, iter:21] avg_LOSS: 2.141 | avg_ACC: 20.714% 
[epoch:0, iter:22] avg_LOSS: 2.123 | avg_ACC: 21.364% 
[epoch:0, iter:23] avg_LOSS: 2.117 | avg_ACC: 21.696% 
[epoch:0, iter:24] avg_LOSS: 2.117 | avg_ACC: 21.833% 
[epoch:0, iter:25] avg_LOSS: 2.111 | avg_ACC: 21.840% 
[epoch:0, iter:26] avg_LOSS: 2.100 | avg_ACC: 22.192% 
[epoch:0, iter:27] avg_LOSS: 2.098 | avg_ACC: 22.370% 
[epoch:0, iter:28] avg_LOSS: 2.095 | avg_ACC: 22.429% 
[epoch:0, iter:29] avg_LOSS: 2.095 | avg_ACC: 22.345% 
[epoch:0, iter:30] avg_LOSS: 2.087 | avg_ACC: 22.700% 
[epoch:0, iter:31] avg_LOSS: 2.079 | avg_ACC: 22.871% 
[epoch:0, iter:32] avg_LOSS: 2.078 | avg_ACC: 22.938% 
[epoch:0, iter:33] avg_LOSS: 2.075 | avg_ACC: 23.242% 
[epoch:0, iter:34] avg_LOSS: 2.075 | avg_ACC: 23.059% 
[epoch:0, iter:35] avg_LOSS: 2.070 | avg_ACC: 23.229% 
[epoch:0, iter:36] avg_LOSS: 2.065 | avg_ACC: 23.528% 
[epoch:0, iter:37] avg_LOSS: 2.067 | avg_ACC: 23.432% 
[epoch:0, iter:38] avg_LOSS: 2.062 | avg_ACC: 23.658% 
[epoch:0, iter:39] avg_LOSS: 2.057 | avg_ACC: 24.000% 
