[epoch:0, iter:1] avg_LOSS: 2.490 | avg_ACC: 7.812% 
[epoch:0, iter:2] avg_LOSS: 2.787 | avg_ACC: 7.031% 
[epoch:0, iter:3] avg_LOSS: 2.846 | avg_ACC: 10.417% 
[epoch:0, iter:4] avg_LOSS: 2.775 | avg_ACC: 10.547% 
[epoch:0, iter:5] avg_LOSS: 2.737 | avg_ACC: 11.562% 
[epoch:0, iter:6] avg_LOSS: 2.701 | avg_ACC: 11.719% 
[epoch:0, iter:7] avg_LOSS: 2.638 | avg_ACC: 12.500% 
[epoch:0, iter:8] avg_LOSS: 2.592 | avg_ACC: 12.695% 
[epoch:0, iter:9] avg_LOSS: 2.546 | avg_ACC: 13.542% 
[epoch:0, iter:10] avg_LOSS: 2.518 | avg_ACC: 14.844% 
[epoch:0, iter:11] avg_LOSS: 2.467 | avg_ACC: 16.335% 
[epoch:0, iter:12] avg_LOSS: 2.432 | avg_ACC: 16.667% 
[epoch:0, iter:13] avg_LOSS: 2.418 | avg_ACC: 16.707% 
[epoch:0, iter:14] avg_LOSS: 2.400 | avg_ACC: 17.188% 
[epoch:0, iter:15] avg_LOSS: 2.383 | avg_ACC: 17.708% 
[epoch:0, iter:16] avg_LOSS: 2.365 | avg_ACC: 18.457% 
[epoch:0, iter:17] avg_LOSS: 2.357 | avg_ACC: 18.842% 
[epoch:0, iter:18] avg_LOSS: 2.348 | avg_ACC: 19.010% 
[epoch:0, iter:19] avg_LOSS: 2.329 | avg_ACC: 19.737% 
[epoch:0, iter:20] avg_LOSS: 2.316 | avg_ACC: 19.688% 
[epoch:0, iter:21] avg_LOSS: 2.303 | avg_ACC: 20.164% 
[epoch:0, iter:22] avg_LOSS: 2.282 | avg_ACC: 20.597% 
[epoch:0, iter:23] avg_LOSS: 2.265 | avg_ACC: 20.788% 
[epoch:0, iter:24] avg_LOSS: 2.249 | avg_ACC: 21.159% 
[epoch:0, iter:25] avg_LOSS: 2.242 | avg_ACC: 21.375% 
[epoch:0, iter:26] avg_LOSS: 2.234 | avg_ACC: 21.394% 
[epoch:0, iter:27] avg_LOSS: 2.218 | avg_ACC: 21.701% 
[epoch:0, iter:28] avg_LOSS: 2.204 | avg_ACC: 21.875% 
[epoch:0, iter:29] avg_LOSS: 2.194 | avg_ACC: 22.091% 
[epoch:0, iter:30] avg_LOSS: 2.192 | avg_ACC: 21.875% 
[epoch:0, iter:31] avg_LOSS: 2.182 | avg_ACC: 21.976% 
[epoch:0, iter:32] avg_LOSS: 2.173 | avg_ACC: 22.119% 
[epoch:0, iter:33] avg_LOSS: 2.160 | avg_ACC: 22.396% 
[epoch:0, iter:34] avg_LOSS: 2.156 | avg_ACC: 22.335% 
[epoch:0, iter:35] avg_LOSS: 2.152 | avg_ACC: 22.455% 
[epoch:0, iter:36] avg_LOSS: 2.147 | avg_ACC: 22.786% 
[epoch:0, iter:37] avg_LOSS: 2.138 | avg_ACC: 22.804% 
[epoch:0, iter:38] avg_LOSS: 2.130 | avg_ACC: 22.944% 
[epoch:0, iter:39] avg_LOSS: 2.122 | avg_ACC: 23.117% 
[epoch:0, iter:40] avg_LOSS: 2.115 | avg_ACC: 23.359% 
[epoch:0, iter:41] avg_LOSS: 2.111 | avg_ACC: 23.590% 
[epoch:0, iter:42] avg_LOSS: 2.104 | avg_ACC: 23.661% 
[epoch:0, iter:43] avg_LOSS: 2.098 | avg_ACC: 23.801% 
[epoch:0, iter:44] avg_LOSS: 2.094 | avg_ACC: 23.722% 
[epoch:0, iter:45] avg_LOSS: 2.092 | avg_ACC: 23.750% 
[epoch:0, iter:46] avg_LOSS: 2.085 | avg_ACC: 24.015% 
[epoch:0, iter:47] avg_LOSS: 2.086 | avg_ACC: 23.870% 
[epoch:0, iter:48] avg_LOSS: 2.080 | avg_ACC: 23.991% 
[epoch:0, iter:49] avg_LOSS: 2.076 | avg_ACC: 24.011% 
[epoch:0, iter:50] avg_LOSS: 2.071 | avg_ACC: 24.094% 
[epoch:0, iter:51] avg_LOSS: 2.061 | avg_ACC: 24.510% 
[epoch:0, iter:52] avg_LOSS: 2.060 | avg_ACC: 24.429% 
[epoch:0, iter:53] avg_LOSS: 2.056 | avg_ACC: 24.528% 
[epoch:0, iter:54] avg_LOSS: 2.052 | avg_ACC: 24.566% 
[epoch:0, iter:55] avg_LOSS: 2.051 | avg_ACC: 24.688% 
[epoch:0, iter:56] avg_LOSS: 2.046 | avg_ACC: 24.916% 
[epoch:0, iter:57] avg_LOSS: 2.042 | avg_ACC: 25.137% 
[epoch:0, iter:58] avg_LOSS: 2.038 | avg_ACC: 25.189% 
[epoch:0, iter:59] avg_LOSS: 2.036 | avg_ACC: 25.238% 
[epoch:0, iter:60] avg_LOSS: 2.032 | avg_ACC: 25.391% 
[epoch:0, iter:61] avg_LOSS: 2.028 | avg_ACC: 25.435% 
[epoch:0, iter:62] avg_LOSS: 2.026 | avg_ACC: 25.529% 
[epoch:0, iter:63] avg_LOSS: 2.023 | avg_ACC: 25.521% 
[epoch:0, iter:64] avg_LOSS: 2.021 | avg_ACC: 25.488% 
[epoch:0, iter:65] avg_LOSS: 2.020 | avg_ACC: 25.385% 
[epoch:0, iter:66] avg_LOSS: 2.018 | avg_ACC: 25.473% 
[epoch:0, iter:67] avg_LOSS: 2.018 | avg_ACC: 25.420% 
[epoch:0, iter:68] avg_LOSS: 2.013 | avg_ACC: 25.735% 
[epoch:0, iter:69] avg_LOSS: 2.009 | avg_ACC: 25.770% 
[epoch:0, iter:70] avg_LOSS: 2.006 | avg_ACC: 25.938% 
[epoch:0, iter:71] avg_LOSS: 2.002 | avg_ACC: 26.144% 
[epoch:0, iter:72] avg_LOSS: 1.998 | avg_ACC: 26.194% 
[epoch:0, iter:73] avg_LOSS: 1.996 | avg_ACC: 26.220% 
[epoch:0, iter:74] avg_LOSS: 1.992 | avg_ACC: 26.436% 
[epoch:0, iter:75] avg_LOSS: 1.992 | avg_ACC: 26.396% 
[epoch:0, iter:76] avg_LOSS: 1.992 | avg_ACC: 26.583% 
[epoch:0, iter:77] avg_LOSS: 1.989 | avg_ACC: 26.705% 
[epoch:0, iter:78] avg_LOSS: 1.986 | avg_ACC: 26.763% 
[epoch:0, iter:79] avg_LOSS: 1.986 | avg_ACC: 26.800% 
[epoch:0, iter:80] avg_LOSS: 1.982 | avg_ACC: 26.934% 
[epoch:0, iter:81] avg_LOSS: 1.981 | avg_ACC: 26.871% 
[epoch:0, iter:82] avg_LOSS: 1.978 | avg_ACC: 26.925% 
[epoch:0, iter:83] avg_LOSS: 1.978 | avg_ACC: 26.958% 
[epoch:0, iter:84] avg_LOSS: 1.976 | avg_ACC: 27.083% 
[epoch:0, iter:85] avg_LOSS: 1.976 | avg_ACC: 27.096% 
[epoch:0, iter:86] avg_LOSS: 1.975 | avg_ACC: 27.071% 
[epoch:0, iter:87] avg_LOSS: 1.974 | avg_ACC: 27.137% 
[epoch:0, iter:88] avg_LOSS: 1.973 | avg_ACC: 27.166% 
[epoch:0, iter:89] avg_LOSS: 1.971 | avg_ACC: 27.353% 
[epoch:0, iter:90] avg_LOSS: 1.968 | avg_ACC: 27.465% 
[epoch:0, iter:91] avg_LOSS: 1.965 | avg_ACC: 27.524% 
[epoch:0, iter:92] avg_LOSS: 1.964 | avg_ACC: 27.548% 
[epoch:0, iter:93] avg_LOSS: 1.962 | avg_ACC: 27.705% 
[epoch:0, iter:94] avg_LOSS: 1.960 | avg_ACC: 27.826% 
[epoch:0, iter:95] avg_LOSS: 1.959 | avg_ACC: 27.829% 
[epoch:0, iter:96] avg_LOSS: 1.956 | avg_ACC: 27.930% 
[epoch:0, iter:97] avg_LOSS: 1.956 | avg_ACC: 27.948% 
[epoch:0, iter:98] avg_LOSS: 1.955 | avg_ACC: 28.013% 
[epoch:0, iter:99] avg_LOSS: 1.954 | avg_ACC: 28.046% 
[epoch:0, iter:100] avg_LOSS: 1.953 | avg_ACC: 28.125% 
[epoch:0, iter:101] avg_LOSS: 1.951 | avg_ACC: 28.110% 
[epoch:0, iter:102] avg_LOSS: 1.949 | avg_ACC: 28.186% 
[epoch:0, iter:103] avg_LOSS: 1.946 | avg_ACC: 28.277% 
[epoch:0, iter:104] avg_LOSS: 1.944 | avg_ACC: 28.350% 
[epoch:0, iter:105] avg_LOSS: 1.942 | avg_ACC: 28.467% 
[epoch:0, iter:106] avg_LOSS: 1.939 | avg_ACC: 28.552% 
[epoch:0, iter:107] avg_LOSS: 1.938 | avg_ACC: 28.621% 
[epoch:0, iter:108] avg_LOSS: 1.938 | avg_ACC: 28.631% 
[epoch:0, iter:109] avg_LOSS: 1.937 | avg_ACC: 28.655% 
[epoch:0, iter:110] avg_LOSS: 1.936 | avg_ACC: 28.778% 
[epoch:0, iter:111] avg_LOSS: 1.936 | avg_ACC: 28.773% 
[epoch:0, iter:112] avg_LOSS: 1.934 | avg_ACC: 28.892% 
[epoch:0, iter:113] avg_LOSS: 1.930 | avg_ACC: 29.010% 
[epoch:0, iter:114] avg_LOSS: 1.926 | avg_ACC: 29.235% 
[epoch:0, iter:115] avg_LOSS: 1.927 | avg_ACC: 29.280% 
[epoch:0, iter:116] avg_LOSS: 1.925 | avg_ACC: 29.351% 
[epoch:0, iter:117] avg_LOSS: 1.925 | avg_ACC: 29.407% 
[epoch:0, iter:118] avg_LOSS: 1.922 | avg_ACC: 29.555% 
[epoch:0, iter:119] avg_LOSS: 1.920 | avg_ACC: 29.596% 
[epoch:0, iter:120] avg_LOSS: 1.918 | avg_ACC: 29.674% 
[epoch:0, iter:121] avg_LOSS: 1.916 | avg_ACC: 29.675% 
[epoch:0, iter:122] avg_LOSS: 1.916 | avg_ACC: 29.739% 
[epoch:0, iter:123] avg_LOSS: 1.915 | avg_ACC: 29.764% 
[epoch:0, iter:124] avg_LOSS: 1.913 | avg_ACC: 29.864% 
[epoch:0, iter:125] avg_LOSS: 1.910 | avg_ACC: 29.938% 
[epoch:0, iter:126] avg_LOSS: 1.910 | avg_ACC: 29.985% 
[epoch:0, iter:127] avg_LOSS: 1.907 | avg_ACC: 30.069% 
[epoch:0, iter:128] avg_LOSS: 1.907 | avg_ACC: 30.066% 
[epoch:0, iter:129] avg_LOSS: 1.906 | avg_ACC: 30.136% 
[epoch:0, iter:130] avg_LOSS: 1.904 | avg_ACC: 30.120% 
[epoch:0, iter:131] avg_LOSS: 1.903 | avg_ACC: 30.177% 
[epoch:0, iter:132] avg_LOSS: 1.902 | avg_ACC: 30.185% 
[epoch:0, iter:133] avg_LOSS: 1.900 | avg_ACC: 30.216% 
[epoch:0, iter:134] avg_LOSS: 1.899 | avg_ACC: 30.236% 
[epoch:0, iter:135] avg_LOSS: 1.898 | avg_ACC: 30.266% 
[epoch:0, iter:136] avg_LOSS: 1.896 | avg_ACC: 30.365% 
[epoch:0, iter:137] avg_LOSS: 1.894 | avg_ACC: 30.417% 
[epoch:0, iter:138] avg_LOSS: 1.893 | avg_ACC: 30.480% 
[epoch:0, iter:139] avg_LOSS: 1.891 | avg_ACC: 30.519% 
[epoch:0, iter:140] avg_LOSS: 1.890 | avg_ACC: 30.547% 
[epoch:0, iter:141] avg_LOSS: 1.888 | avg_ACC: 30.596% 
[epoch:0, iter:142] avg_LOSS: 1.887 | avg_ACC: 30.590% 
[epoch:0, iter:143] avg_LOSS: 1.887 | avg_ACC: 30.573% 
[epoch:0, iter:144] avg_LOSS: 1.886 | avg_ACC: 30.653% 
[epoch:0, iter:145] avg_LOSS: 1.884 | avg_ACC: 30.679% 
[epoch:0, iter:146] avg_LOSS: 1.883 | avg_ACC: 30.715% 
[epoch:0, iter:147] avg_LOSS: 1.882 | avg_ACC: 30.740% 
[epoch:0, iter:148] avg_LOSS: 1.880 | avg_ACC: 30.817% 
[epoch:0, iter:149] avg_LOSS: 1.879 | avg_ACC: 30.872% 
[epoch:0, iter:150] avg_LOSS: 1.878 | avg_ACC: 30.875% 
[epoch:0, iter:151] avg_LOSS: 1.877 | avg_ACC: 30.919% 
[epoch:0, iter:152] avg_LOSS: 1.876 | avg_ACC: 30.880% 
[epoch:0, iter:153] avg_LOSS: 1.874 | avg_ACC: 30.893% 
[epoch:0, iter:154] avg_LOSS: 1.871 | avg_ACC: 31.006% 
[epoch:0, iter:155] avg_LOSS: 1.871 | avg_ACC: 30.978% 
[epoch:0, iter:156] avg_LOSS: 1.869 | avg_ACC: 31.020% 
[epoch:0, iter:157] avg_LOSS: 1.867 | avg_ACC: 31.081% 
