[epoch:0, iter:1] avg_LOSS: 2.486 | avg_ACC: 13.000% 
[epoch:0, iter:2] avg_LOSS: 2.387 | avg_ACC: 18.000% 
[epoch:0, iter:3] avg_LOSS: 2.330 | avg_ACC: 19.000% 
[epoch:0, iter:4] avg_LOSS: 2.302 | avg_ACC: 19.750% 
[epoch:0, iter:5] avg_LOSS: 2.287 | avg_ACC: 20.000% 
[epoch:0, iter:6] avg_LOSS: 2.275 | avg_ACC: 18.833% 
[epoch:0, iter:7] avg_LOSS: 2.263 | avg_ACC: 19.000% 
[epoch:0, iter:8] avg_LOSS: 2.251 | avg_ACC: 19.750% 
[epoch:0, iter:9] avg_LOSS: 2.247 | avg_ACC: 19.667% 
[epoch:0, iter:10] avg_LOSS: 2.246 | avg_ACC: 19.400% 
[epoch:0, iter:11] avg_LOSS: 2.244 | avg_ACC: 19.182% 
[epoch:0, iter:12] avg_LOSS: 2.236 | avg_ACC: 19.000% 
[epoch:0, iter:13] avg_LOSS: 2.229 | avg_ACC: 19.077% 
[epoch:0, iter:14] avg_LOSS: 2.218 | avg_ACC: 19.214% 
[epoch:0, iter:15] avg_LOSS: 2.211 | avg_ACC: 19.200% 
[epoch:0, iter:16] avg_LOSS: 2.206 | avg_ACC: 19.250% 
[epoch:0, iter:17] avg_LOSS: 2.204 | avg_ACC: 19.176% 
[epoch:0, iter:18] avg_LOSS: 2.197 | avg_ACC: 19.611% 
[epoch:0, iter:19] avg_LOSS: 2.188 | avg_ACC: 19.737% 
[epoch:0, iter:20] avg_LOSS: 2.187 | avg_ACC: 19.650% 
[epoch:0, iter:21] avg_LOSS: 2.182 | avg_ACC: 19.714% 
[epoch:0, iter:22] avg_LOSS: 2.176 | avg_ACC: 19.955% 
[epoch:0, iter:23] avg_LOSS: 2.169 | avg_ACC: 20.130% 
[epoch:0, iter:24] avg_LOSS: 2.165 | avg_ACC: 20.167% 
[epoch:0, iter:25] avg_LOSS: 2.157 | avg_ACC: 20.640% 
[epoch:0, iter:26] avg_LOSS: 2.151 | avg_ACC: 20.769% 
[epoch:0, iter:27] avg_LOSS: 2.145 | avg_ACC: 20.889% 
[epoch:0, iter:28] avg_LOSS: 2.140 | avg_ACC: 21.036% 
[epoch:0, iter:29] avg_LOSS: 2.132 | avg_ACC: 21.414% 
[epoch:0, iter:30] avg_LOSS: 2.127 | avg_ACC: 21.600% 
[epoch:0, iter:31] avg_LOSS: 2.121 | avg_ACC: 21.677% 
[epoch:0, iter:32] avg_LOSS: 2.112 | avg_ACC: 21.844% 
[epoch:0, iter:33] avg_LOSS: 2.109 | avg_ACC: 21.939% 
[epoch:0, iter:34] avg_LOSS: 2.103 | avg_ACC: 22.265% 
[epoch:0, iter:35] avg_LOSS: 2.100 | avg_ACC: 22.429% 
[epoch:0, iter:36] avg_LOSS: 2.097 | avg_ACC: 22.500% 
[epoch:0, iter:37] avg_LOSS: 2.092 | avg_ACC: 22.703% 
[epoch:0, iter:38] avg_LOSS: 2.088 | avg_ACC: 22.895% 
[epoch:0, iter:39] avg_LOSS: 2.081 | avg_ACC: 23.154% 
[epoch:0, iter:40] avg_LOSS: 2.077 | avg_ACC: 23.400% 
[epoch:0, iter:41] avg_LOSS: 2.070 | avg_ACC: 23.732% 
[epoch:0, iter:42] avg_LOSS: 2.068 | avg_ACC: 23.810% 
[epoch:0, iter:43] avg_LOSS: 2.064 | avg_ACC: 23.791% 
[epoch:0, iter:44] avg_LOSS: 2.060 | avg_ACC: 23.977% 
[epoch:0, iter:45] avg_LOSS: 2.059 | avg_ACC: 23.978% 
[epoch:0, iter:46] avg_LOSS: 2.054 | avg_ACC: 23.978% 
[epoch:0, iter:47] avg_LOSS: 2.047 | avg_ACC: 24.298% 
[epoch:0, iter:48] avg_LOSS: 2.043 | avg_ACC: 24.521% 
[epoch:0, iter:49] avg_LOSS: 2.039 | avg_ACC: 24.633% 
[epoch:0, iter:50] avg_LOSS: 2.039 | avg_ACC: 24.700% 
[epoch:0, iter:51] avg_LOSS: 2.036 | avg_ACC: 24.765% 
[epoch:0, iter:52] avg_LOSS: 2.032 | avg_ACC: 24.981% 
[epoch:0, iter:53] avg_LOSS: 2.027 | avg_ACC: 25.189% 
[epoch:0, iter:54] avg_LOSS: 2.022 | avg_ACC: 25.370% 
[epoch:0, iter:55] avg_LOSS: 2.020 | avg_ACC: 25.473% 
[epoch:0, iter:56] avg_LOSS: 2.017 | avg_ACC: 25.536% 
[epoch:0, iter:57] avg_LOSS: 2.016 | avg_ACC: 25.509% 
