[epoch:0, iter:81] avg_LOSS: 1.815 | avg_ACC: 32.889% 
[epoch:0, iter:82] avg_LOSS: 1.813 | avg_ACC: 32.963% 
[epoch:0, iter:83] avg_LOSS: 1.810 | avg_ACC: 33.096% 
[epoch:0, iter:84] avg_LOSS: 1.807 | avg_ACC: 33.250% 
[epoch:0, iter:85] avg_LOSS: 1.802 | avg_ACC: 33.412% 
[epoch:0, iter:86] avg_LOSS: 1.799 | avg_ACC: 33.570% 
[epoch:0, iter:87] avg_LOSS: 1.800 | avg_ACC: 33.552% 
[epoch:0, iter:88] avg_LOSS: 1.795 | avg_ACC: 33.761% 
[epoch:0, iter:89] avg_LOSS: 1.792 | avg_ACC: 33.876% 
[epoch:0, iter:90] avg_LOSS: 1.786 | avg_ACC: 34.122% 
[epoch:0, iter:91] avg_LOSS: 1.782 | avg_ACC: 34.297% 
[epoch:0, iter:92] avg_LOSS: 1.780 | avg_ACC: 34.326% 
[epoch:0, iter:93] avg_LOSS: 1.777 | avg_ACC: 34.430% 
[epoch:0, iter:94] avg_LOSS: 1.776 | avg_ACC: 34.426% 
[epoch:0, iter:95] avg_LOSS: 1.771 | avg_ACC: 34.579% 
[epoch:0, iter:96] avg_LOSS: 1.767 | avg_ACC: 34.708% 
[epoch:0, iter:97] avg_LOSS: 1.764 | avg_ACC: 34.866% 
[epoch:0, iter:98] avg_LOSS: 1.762 | avg_ACC: 35.000% 
[epoch:0, iter:99] avg_LOSS: 1.760 | avg_ACC: 35.162% 
[epoch:0, iter:100] avg_LOSS: 1.756 | avg_ACC: 35.300% 
[epoch:0, iter:101] avg_LOSS: 1.755 | avg_ACC: 35.396% 
[epoch:0, iter:102] avg_LOSS: 1.754 | avg_ACC: 35.510% 
[epoch:0, iter:103] avg_LOSS: 1.752 | avg_ACC: 35.592% 
[epoch:0, iter:104] avg_LOSS: 1.750 | avg_ACC: 35.577% 
[epoch:0, iter:105] avg_LOSS: 1.748 | avg_ACC: 35.590% 
[epoch:0, iter:106] avg_LOSS: 1.743 | avg_ACC: 35.726% 
[epoch:0, iter:107] avg_LOSS: 1.740 | avg_ACC: 35.944% 
[epoch:0, iter:108] avg_LOSS: 1.735 | avg_ACC: 36.120% 
[epoch:0, iter:109] avg_LOSS: 1.733 | avg_ACC: 36.220% 
[epoch:0, iter:110] avg_LOSS: 1.729 | avg_ACC: 36.345% 
[epoch:0, iter:111] avg_LOSS: 1.726 | avg_ACC: 36.532% 
[epoch:0, iter:112] avg_LOSS: 1.724 | avg_ACC: 36.571% 
[epoch:0, iter:113] avg_LOSS: 1.721 | avg_ACC: 36.690% 
[epoch:0, iter:114] avg_LOSS: 1.717 | avg_ACC: 36.842% 
[epoch:0, iter:115] avg_LOSS: 1.715 | avg_ACC: 36.965% 
[epoch:0, iter:116] avg_LOSS: 1.713 | avg_ACC: 37.060% 
[epoch:0, iter:117] avg_LOSS: 1.711 | avg_ACC: 37.145% 
[epoch:0, iter:118] avg_LOSS: 1.710 | avg_ACC: 37.229% 
[epoch:0, iter:119] avg_LOSS: 1.708 | avg_ACC: 37.269% 
[epoch:0, iter:120] avg_LOSS: 1.705 | avg_ACC: 37.400% 
[epoch:0, iter:121] avg_LOSS: 1.703 | avg_ACC: 37.479% 
[epoch:0, iter:122] avg_LOSS: 1.701 | avg_ACC: 37.508% 
[epoch:0, iter:123] avg_LOSS: 1.698 | avg_ACC: 37.618% 
[epoch:0, iter:124] avg_LOSS: 1.695 | avg_ACC: 37.718% 
[epoch:0, iter:125] avg_LOSS: 1.694 | avg_ACC: 37.760% 
[epoch:0, iter:126] avg_LOSS: 1.692 | avg_ACC: 37.849% 
[epoch:0, iter:127] avg_LOSS: 1.688 | avg_ACC: 37.937% 
[epoch:0, iter:128] avg_LOSS: 1.688 | avg_ACC: 37.914% 
[epoch:0, iter:129] avg_LOSS: 1.686 | avg_ACC: 37.992% 
[epoch:0, iter:130] avg_LOSS: 1.684 | avg_ACC: 38.131% 
[epoch:0, iter:131] avg_LOSS: 1.682 | avg_ACC: 38.176% 
[epoch:0, iter:132] avg_LOSS: 1.680 | avg_ACC: 38.265% 
[epoch:0, iter:133] avg_LOSS: 1.679 | avg_ACC: 38.353% 
[epoch:0, iter:134] avg_LOSS: 1.676 | avg_ACC: 38.478% 
[epoch:0, iter:135] avg_LOSS: 1.675 | avg_ACC: 38.519% 
