[epoch:0, iter:1] avg_LOSS: 2.492 | avg_ACC: 4.000% 
[epoch:0, iter:2] avg_LOSS: 2.450 | avg_ACC: 6.500% 
[epoch:0, iter:3] avg_LOSS: 2.404 | avg_ACC: 11.333% 
[epoch:0, iter:4] avg_LOSS: 2.385 | avg_ACC: 13.000% 
[epoch:0, iter:5] avg_LOSS: 2.389 | avg_ACC: 13.200% 
[epoch:0, iter:6] avg_LOSS: 2.377 | avg_ACC: 13.167% 
[epoch:0, iter:7] avg_LOSS: 2.367 | avg_ACC: 14.143% 
[epoch:0, iter:8] avg_LOSS: 2.359 | avg_ACC: 14.250% 
[epoch:0, iter:9] avg_LOSS: 2.351 | avg_ACC: 14.778% 
[epoch:0, iter:10] avg_LOSS: 2.346 | avg_ACC: 14.200% 
[epoch:0, iter:11] avg_LOSS: 2.336 | avg_ACC: 14.273% 
[epoch:0, iter:12] avg_LOSS: 2.330 | avg_ACC: 13.917% 
[epoch:0, iter:13] avg_LOSS: 2.326 | avg_ACC: 13.615% 
[epoch:0, iter:14] avg_LOSS: 2.324 | avg_ACC: 13.714% 
[epoch:0, iter:15] avg_LOSS: 2.319 | avg_ACC: 13.933% 
[epoch:0, iter:16] avg_LOSS: 2.311 | avg_ACC: 14.000% 
[epoch:0, iter:17] avg_LOSS: 2.307 | avg_ACC: 14.176% 
[epoch:0, iter:18] avg_LOSS: 2.301 | avg_ACC: 14.667% 
[epoch:0, iter:19] avg_LOSS: 2.295 | avg_ACC: 15.000% 
[epoch:0, iter:20] avg_LOSS: 2.294 | avg_ACC: 15.050% 
[epoch:0, iter:21] avg_LOSS: 2.288 | avg_ACC: 15.476% 
[epoch:0, iter:22] avg_LOSS: 2.285 | avg_ACC: 15.773% 
[epoch:0, iter:23] avg_LOSS: 2.279 | avg_ACC: 15.957% 
[epoch:0, iter:24] avg_LOSS: 2.274 | avg_ACC: 16.000% 
[epoch:0, iter:25] avg_LOSS: 2.265 | avg_ACC: 16.440% 
[epoch:0, iter:26] avg_LOSS: 2.263 | avg_ACC: 16.462% 
[epoch:0, iter:27] avg_LOSS: 2.261 | avg_ACC: 16.519% 
[epoch:0, iter:28] avg_LOSS: 2.257 | avg_ACC: 16.393% 
[epoch:0, iter:29] avg_LOSS: 2.250 | avg_ACC: 16.586% 
[epoch:0, iter:30] avg_LOSS: 2.247 | avg_ACC: 16.633% 
[epoch:0, iter:31] avg_LOSS: 2.244 | avg_ACC: 16.742% 
[epoch:0, iter:32] avg_LOSS: 2.238 | avg_ACC: 16.969% 
[epoch:0, iter:33] avg_LOSS: 2.233 | avg_ACC: 17.030% 
[epoch:0, iter:34] avg_LOSS: 2.226 | avg_ACC: 17.235% 
[epoch:0, iter:35] avg_LOSS: 2.223 | avg_ACC: 17.400% 
[epoch:0, iter:36] avg_LOSS: 2.219 | avg_ACC: 17.472% 
[epoch:0, iter:37] avg_LOSS: 2.214 | avg_ACC: 17.595% 
