[epoch:0, iter:87] LOSS: 1.832 | avg_ACC: 25.144% 
[epoch:0, iter:88] LOSS: 1.891 | avg_ACC: 25.142% 
[epoch:0, iter:89] LOSS: 1.582 | avg_ACC: 25.316% 
[epoch:0, iter:90] LOSS: 2.025 | avg_ACC: 25.365% 
[epoch:0, iter:91] LOSS: 1.774 | avg_ACC: 25.498% 
[epoch:0, iter:92] LOSS: 1.848 | avg_ACC: 25.510% 
[epoch:0, iter:93] LOSS: 1.899 | avg_ACC: 25.605% 
[epoch:0, iter:94] LOSS: 1.836 | avg_ACC: 25.715% 
[epoch:0, iter:95] LOSS: 1.888 | avg_ACC: 25.757% 
[epoch:0, iter:96] LOSS: 1.722 | avg_ACC: 25.863% 
[epoch:0, iter:97] LOSS: 1.819 | avg_ACC: 25.854% 
[epoch:0, iter:98] LOSS: 1.972 | avg_ACC: 25.813% 
[epoch:0, iter:99] LOSS: 1.804 | avg_ACC: 25.868% 
[epoch:0, iter:100] LOSS: 1.798 | avg_ACC: 25.906% 
[epoch:0, iter:101] LOSS: 1.747 | avg_ACC: 25.990% 
[epoch:0, iter:102] LOSS: 1.747 | avg_ACC: 26.103% 
[epoch:0, iter:103] LOSS: 2.067 | avg_ACC: 26.016% 
[epoch:0, iter:104] LOSS: 1.722 | avg_ACC: 26.112% 
[epoch:0, iter:105] LOSS: 2.077 | avg_ACC: 26.086% 
[epoch:0, iter:106] LOSS: 1.743 | avg_ACC: 26.194% 
[epoch:0, iter:107] LOSS: 1.857 | avg_ACC: 26.270% 
[epoch:0, iter:108] LOSS: 1.867 | avg_ACC: 26.302% 
[epoch:0, iter:109] LOSS: 1.853 | avg_ACC: 26.276% 
[epoch:0, iter:110] LOSS: 1.743 | avg_ACC: 26.349% 
[epoch:0, iter:111] LOSS: 1.819 | avg_ACC: 26.337% 
[epoch:0, iter:112] LOSS: 1.818 | avg_ACC: 26.339% 
[epoch:0, iter:113] LOSS: 1.760 | avg_ACC: 26.383% 
[epoch:0, iter:114] LOSS: 1.761 | avg_ACC: 26.535% 
[epoch:0, iter:115] LOSS: 1.850 | avg_ACC: 26.685% 
[epoch:0, iter:116] LOSS: 1.540 | avg_ACC: 26.791% 
[epoch:0, iter:117] LOSS: 2.013 | avg_ACC: 26.830% 
[epoch:0, iter:118] LOSS: 1.701 | avg_ACC: 26.894% 
[epoch:0, iter:119] LOSS: 1.727 | avg_ACC: 26.983% 
[epoch:0, iter:120] LOSS: 1.819 | avg_ACC: 27.031% 
[epoch:0, iter:121] LOSS: 1.677 | avg_ACC: 27.105% 
[epoch:0, iter:122] LOSS: 1.479 | avg_ACC: 27.164% 
[epoch:0, iter:123] LOSS: 1.633 | avg_ACC: 27.299% 
[epoch:0, iter:124] LOSS: 1.646 | avg_ACC: 27.344% 
[epoch:0, iter:125] LOSS: 2.101 | avg_ACC: 27.400% 
[epoch:0, iter:126] LOSS: 1.914 | avg_ACC: 27.431% 
[epoch:0, iter:127] LOSS: 1.538 | avg_ACC: 27.498% 
[epoch:0, iter:128] LOSS: 1.578 | avg_ACC: 27.539% 
[epoch:0, iter:129] LOSS: 1.980 | avg_ACC: 27.568% 
[epoch:0, iter:130] LOSS: 1.749 | avg_ACC: 27.632% 
[epoch:0, iter:131] LOSS: 1.621 | avg_ACC: 27.719% 
[epoch:0, iter:132] LOSS: 1.830 | avg_ACC: 27.794% 
[epoch:0, iter:133] LOSS: 1.600 | avg_ACC: 27.867% 
[epoch:0, iter:134] LOSS: 1.817 | avg_ACC: 27.973% 
[epoch:0, iter:135] LOSS: 1.674 | avg_ACC: 28.067% 
[epoch:0, iter:136] LOSS: 1.687 | avg_ACC: 28.148% 
[epoch:0, iter:137] LOSS: 1.759 | avg_ACC: 28.216% 
[epoch:0, iter:138] LOSS: 1.759 | avg_ACC: 28.227% 
[epoch:0, iter:139] LOSS: 1.885 | avg_ACC: 28.271% 
[epoch:0, iter:140] LOSS: 1.590 | avg_ACC: 28.315% 
[epoch:0, iter:141] LOSS: 1.668 | avg_ACC: 28.391% 
[epoch:0, iter:142] LOSS: 1.666 | avg_ACC: 28.455% 
[epoch:0, iter:143] LOSS: 1.625 | avg_ACC: 28.595% 
[epoch:0, iter:144] LOSS: 1.662 | avg_ACC: 28.722% 
[epoch:0, iter:145] LOSS: 1.692 | avg_ACC: 28.847% 
[epoch:0, iter:146] LOSS: 1.835 | avg_ACC: 28.874% 
[epoch:0, iter:147] LOSS: 1.658 | avg_ACC: 28.986% 
[epoch:0, iter:148] LOSS: 1.557 | avg_ACC: 29.086% 
[epoch:0, iter:149] LOSS: 1.621 | avg_ACC: 29.163% 
[epoch:0, iter:150] LOSS: 1.565 | avg_ACC: 29.271% 
[epoch:0, iter:151] LOSS: 1.794 | avg_ACC: 29.305% 
[epoch:0, iter:152] LOSS: 1.509 | avg_ACC: 29.400% 
[epoch:0, iter:153] LOSS: 1.841 | avg_ACC: 29.402% 
[epoch:0, iter:154] LOSS: 1.769 | avg_ACC: 29.414% 
[epoch:0, iter:155] LOSS: 1.505 | avg_ACC: 29.506% 
[epoch:0, iter:156] LOSS: 1.801 | avg_ACC: 29.517% 
[epoch:0, iter:157] LOSS: 1.495 | avg_ACC: 29.588% 
[epoch:0, iter:158] LOSS: 1.841 | avg_ACC: 29.618% 
[epoch:0, iter:159] LOSS: 1.684 | avg_ACC: 29.658% 
[epoch:0, iter:160] LOSS: 1.590 | avg_ACC: 29.746% 
[epoch:0, iter:161] LOSS: 1.647 | avg_ACC: 29.755% 
[epoch:0, iter:162] LOSS: 1.749 | avg_ACC: 29.803% 
[epoch:0, iter:163] LOSS: 1.596 | avg_ACC: 29.841% 
[epoch:0, iter:164] LOSS: 1.655 | avg_ACC: 29.897% 
[epoch:0, iter:165] LOSS: 1.622 | avg_ACC: 29.991% 
[epoch:0, iter:166] LOSS: 1.363 | avg_ACC: 30.158% 
[epoch:0, iter:167] LOSS: 1.447 | avg_ACC: 30.268% 
[epoch:0, iter:168] LOSS: 1.751 | avg_ACC: 30.320% 
[epoch:0, iter:169] LOSS: 1.567 | avg_ACC: 30.390% 
[epoch:0, iter:170] LOSS: 1.534 | avg_ACC: 30.478% 
[epoch:0, iter:171] LOSS: 1.706 | avg_ACC: 30.574% 
[epoch:0, iter:172] LOSS: 1.677 | avg_ACC: 30.623% 
[epoch:0, iter:173] LOSS: 1.519 | avg_ACC: 30.690% 
[epoch:0, iter:174] LOSS: 1.639 | avg_ACC: 30.702% 
[epoch:0, iter:175] LOSS: 1.615 | avg_ACC: 30.759% 
[epoch:0, iter:176] LOSS: 1.693 | avg_ACC: 30.771% 
[epoch:0, iter:177] LOSS: 1.627 | avg_ACC: 30.870% 
[epoch:0, iter:178] LOSS: 1.375 | avg_ACC: 30.987% 
[epoch:0, iter:179] LOSS: 1.718 | avg_ACC: 31.023% 
[epoch:0, iter:180] LOSS: 1.707 | avg_ACC: 31.050% 
[epoch:0, iter:181] LOSS: 1.627 | avg_ACC: 31.103% 
[epoch:0, iter:182] LOSS: 1.391 | avg_ACC: 31.224% 
[epoch:0, iter:183] LOSS: 1.567 | avg_ACC: 31.301% 
[epoch:0, iter:184] LOSS: 1.440 | avg_ACC: 31.394% 
[epoch:0, iter:185] LOSS: 1.896 | avg_ACC: 31.377% 
[epoch:0, iter:186] LOSS: 1.555 | avg_ACC: 31.426% 
[epoch:0, iter:187] LOSS: 1.750 | avg_ACC: 31.434% 
[epoch:0, iter:188] LOSS: 1.685 | avg_ACC: 31.474% 
[epoch:0, iter:189] LOSS: 1.586 | avg_ACC: 31.531% 
[epoch:0, iter:190] LOSS: 1.695 | avg_ACC: 31.554% 
[epoch:0, iter:191] LOSS: 1.722 | avg_ACC: 31.585% 
[epoch:0, iter:192] LOSS: 1.746 | avg_ACC: 31.632% 
[epoch:0, iter:193] LOSS: 1.573 | avg_ACC: 31.639% 
[epoch:0, iter:194] LOSS: 1.606 | avg_ACC: 31.669% 
[epoch:0, iter:195] LOSS: 1.681 | avg_ACC: 31.651% 
[epoch:0, iter:196] LOSS: 1.698 | avg_ACC: 31.657% 
[epoch:0, iter:197] LOSS: 1.564 | avg_ACC: 31.718% 
[epoch:0, iter:198] LOSS: 1.537 | avg_ACC: 31.763% 
[epoch:0, iter:199] LOSS: 1.738 | avg_ACC: 31.823% 
[epoch:0, iter:200] LOSS: 1.786 | avg_ACC: 31.828% 
[epoch:0, iter:201] LOSS: 1.545 | avg_ACC: 31.880% 
[epoch:0, iter:202] LOSS: 1.864 | avg_ACC: 31.900% 
[epoch:0, iter:203] LOSS: 1.730 | avg_ACC: 31.873% 
[epoch:0, iter:204] LOSS: 1.614 | avg_ACC: 31.924% 
[epoch:0, iter:205] LOSS: 1.595 | avg_ACC: 31.944% 
[epoch:0, iter:206] LOSS: 1.699 | avg_ACC: 31.948% 
[epoch:0, iter:207] LOSS: 1.650 | avg_ACC: 31.967% 
[epoch:0, iter:208] LOSS: 1.644 | avg_ACC: 31.971% 
[epoch:0, iter:209] LOSS: 1.790 | avg_ACC: 31.990% 
[epoch:0, iter:210] LOSS: 1.582 | avg_ACC: 32.024% 
[epoch:0, iter:211] LOSS: 1.698 | avg_ACC: 32.005% 
[epoch:0, iter:212] LOSS: 1.581 | avg_ACC: 32.039% 
[epoch:0, iter:213] LOSS: 1.679 | avg_ACC: 32.086% 
[epoch:0, iter:214] LOSS: 1.569 | avg_ACC: 32.082% 
[epoch:0, iter:215] LOSS: 1.606 | avg_ACC: 32.166% 
[epoch:0, iter:216] LOSS: 1.763 | avg_ACC: 32.198% 
[epoch:0, iter:217] LOSS: 1.484 | avg_ACC: 32.236% 
[epoch:0, iter:218] LOSS: 1.372 | avg_ACC: 32.304% 
[epoch:0, iter:219] LOSS: 1.397 | avg_ACC: 32.392% 
[epoch:0, iter:220] LOSS: 1.749 | avg_ACC: 32.393% 
[epoch:0, iter:221] LOSS: 1.313 | avg_ACC: 32.466% 
[epoch:0, iter:222] LOSS: 1.305 | avg_ACC: 32.559% 
[epoch:0, iter:223] LOSS: 1.509 | avg_ACC: 32.602% 
[epoch:0, iter:224] LOSS: 1.411 | avg_ACC: 32.659% 
[epoch:0, iter:225] LOSS: 1.469 | avg_ACC: 32.715% 
[epoch:0, iter:226] LOSS: 1.333 | avg_ACC: 32.812% 
[epoch:0, iter:227] LOSS: 1.672 | avg_ACC: 32.799% 
[epoch:0, iter:228] LOSS: 1.356 | avg_ACC: 32.860% 
[epoch:0, iter:229] LOSS: 1.864 | avg_ACC: 32.894% 
[epoch:0, iter:230] LOSS: 1.506 | avg_ACC: 32.955% 
[epoch:0, iter:231] LOSS: 1.569 | avg_ACC: 32.955% 
[epoch:0, iter:232] LOSS: 1.549 | avg_ACC: 32.974% 
[epoch:0, iter:233] LOSS: 1.471 | avg_ACC: 32.980% 
[epoch:0, iter:234] LOSS: 1.787 | avg_ACC: 33.013% 
[epoch:0, iter:235] LOSS: 1.606 | avg_ACC: 33.052% 
[epoch:0, iter:236] LOSS: 1.722 | avg_ACC: 33.044% 
[epoch:0, iter:237] LOSS: 1.589 | avg_ACC: 33.083% 
[epoch:0, iter:238] LOSS: 1.665 | avg_ACC: 33.114% 
[epoch:0, iter:239] LOSS: 1.707 | avg_ACC: 33.166% 
[epoch:0, iter:240] LOSS: 1.563 | avg_ACC: 33.210% 
[epoch:0, iter:241] LOSS: 1.601 | avg_ACC: 33.234% 
[epoch:0, iter:242] LOSS: 1.660 | avg_ACC: 33.258% 
[epoch:0, iter:243] LOSS: 1.334 | avg_ACC: 33.295% 
[epoch:0, iter:244] LOSS: 1.514 | avg_ACC: 33.331% 
[epoch:0, iter:245] LOSS: 1.772 | avg_ACC: 33.323% 
[epoch:0, iter:246] LOSS: 1.631 | avg_ACC: 33.359% 
[epoch:0, iter:247] LOSS: 1.434 | avg_ACC: 33.382% 
[epoch:0, iter:248] LOSS: 1.647 | avg_ACC: 33.411% 
[epoch:0, iter:249] LOSS: 1.628 | avg_ACC: 33.446% 
[epoch:0, iter:250] LOSS: 1.873 | avg_ACC: 33.462% 
